question_category,variable_name,description,question,possible_response_values,
,cbarq_miscellaneous_6,C-BARQ miscellaneous question 6 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),Eats own or other animals’ droppings or feces,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_miscellaneous_7,C-BARQ miscellaneous question 7 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),Chews inappropriate objects,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_miscellaneous_8,C-BARQ miscellaneous question 8 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),"Mounts’ objects, furniture, or people","Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_miscellaneous_9,C-BARQ miscellaneous question 9 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),Begs persistently for food when people are eating,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_miscellaneous_10,C-BARQ miscellaneous question 10 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),Steals food,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_miscellaneous_11,C-BARQ miscellaneous question 11 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),Nervous or frightened on stairs,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_miscellaneous_12,C-BARQ miscellaneous question 12 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),Pulls excessively hard when on the leash,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_miscellaneous_13,C-BARQ miscellaneous question 13 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),Urinates against objects/ furnishings in your home,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_miscellaneous_14,C-BARQ miscellaneous question 14 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),"Urinates when approached, petted, handled or picked up","Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_miscellaneous_15,C-BARQ miscellaneous question 15 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),"Urinates when left alone at night, or during the daytime","Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_miscellaneous_16,C-BARQ miscellaneous question 16 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),"Defecates when left alone at night, or during the daytime","Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_miscellaneous_17,C-BARQ miscellaneous question 17 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),"Hyperactive, restless, has trouble settling down","Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_miscellaneous_18,C-BARQ miscellaneous question 18 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),"Playful, puppyish, boisterous","Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_miscellaneous_19,C-BARQ miscellaneous question 19 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),"Active, energetic, always on the go","Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_miscellaneous_20,C-BARQ miscellaneous question 20 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),Stares intently at nothing visible,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_miscellaneous_21,C-BARQ miscellaneous question 21 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),Snaps at (invisible) flies,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_miscellaneous_22,C-BARQ miscellaneous question 22 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),Chases own tail/hind end,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_miscellaneous_23,C-BARQ miscellaneous question 23 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),"Chases/follows shadows, light spots, etc.","Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_miscellaneous_24,C-BARQ miscellaneous question 24 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),Barks persistently when alarmed or excited,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_miscellaneous_25,C-BARQ miscellaneous question 25 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),Licks him/herself excessively,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_miscellaneous_26,C-BARQ miscellaneous question 26 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),Licks people or objects excessively,"Never, Seldom, Sometimes, Usually, Always, Not observed",
,cbarq_miscellaneous_27,C-BARQ miscellaneous question 27 ('Dogs display a wide range of miscellaneous behavior problems in addition to those already covered by this questionnaire.'),"Displays other bizarre, strange, or repetitive behavior(s)","Never, Seldom, Sometimes, Usually, Always, Not observed",
Behavior Testing,first_condition,Which experimental condition was experienced first,,"Nonostensive, Ostensive",
,onecup_1,Choice in one-cup warm-up trial 1,,"1 = chose cup with treat, 0 = did not choose cup",
,onecup_2,Choice in one-cup warm-up trial 2,,"1 = chose cup with treat, 0 = did not choose cup",
,onecup_3,Choice in one-cup warm-up trial 3,,"1 = chose cup with treat, 0 = did not choose cup",
,onecup_4,Choice in one-cup warm-up trial 4,,"1 = chose cup with treat, 0 = did not choose cup",
,onecup_5,Choice in one-cup warm-up trial 5,,"1 = chose cup with treat, 0 = did not choose cup",
,onecup_6,Choice in one-cup warm-up trial 6,,"1 = chose cup with treat, 0 = did not choose cup",
,onecup_7,Choice in one-cup warm-up trial 7,,"1 = chose cup with treat, 0 = did not choose cup",
,twocup_1,Choice in two-cup warm-up trial 1,,"1 = chose cup with treat, 0 = chose up without treat",
,twocup_2,Choice in two-cup warm-up trial 2,,"1 = chose cup with treat, 0 = chose up without treat",
,twocup_3,Choice in two-cup warm-up trial 3,,"1 = chose cup with treat, 0 = chose up without treat",
,twocup_4,Choice in two-cup warm-up trial 4,,"1 = chose cup with treat, 0 = chose up without treat",
,twocup_5,Choice in two-cup warm-up trial 5,,"1 = chose cup with treat, 0 = chose up without treat",
,twocup_6,Choice in two-cup warm-up trial 6,,"1 = chose cup with treat, 0 = chose up without treat",
,twocup_7,Choice in two-cup warm-up trial 7,,"1 = chose cup with treat, 0 = chose up without treat",
,twocup_8,Choice in two-cup warm-up trial 8,,"1 = chose cup with treat, 0 = chose up without treat",
,twocup_9,Choice in two-cup warm-up trial 9,,"1 = chose cup with treat, 0 = chose up without treat",
,twocup_10,Choice in two-cup warm-up trial 10,,"1 = chose cup with treat, 0 = chose up without treat",
,twocup_11,Choice in two-cup warm-up trial 11,,"1 = chose cup with treat, 0 = chose up without treat",
,twocup_12,Choice in two-cup warm-up trial 12,,"1 = chose cup with treat, 0 = chose up without treat",
,twocup_13,Choice in two-cup warm-up trial 13,,"1 = chose cup with treat, 0 = chose up without treat",
,twocup_14,Choice in two-cup warm-up trial 14,,"1 = chose cup with treat, 0 = chose up without treat",
,twocup_15,Choice in two-cup warm-up trial 15,,"1 = chose cup with treat, 0 = chose up without treat",
,twocup_16,Choice in two-cup warm-up trial 16,,"1 = chose cup with treat, 0 = chose up without treat",
,twocup_17,Choice in two-cup warm-up trial 17,,"1 = chose cup with treat, 0 = chose up without treat",
,twocup_18,Choice in two-cup warm-up trial 18,,"1 = chose cup with treat, 0 = chose up without treat",
,twocup_19,Choice in two-cup warm-up trial 19,,"1 = chose cup with treat, 0 = chose up without treat",
,twocup_20,Choice in two-cup warm-up trial 20,,"1 = chose cup with treat, 0 = chose up without treat",
,twocup_21,Choice in two-cup warm-up trial 21,,"1 = chose cup with treat, 0 = chose up without treat",
,twocup_22,Choice in two-cup warm-up trial 22,,"1 = chose cup with treat, 0 = chose up without treat",
,twocup_23,Choice in two-cup warm-up trial 23,,"1 = chose cup with treat, 0 = chose up without treat",
,nonostensive_1,Choice in non-ostensive trial 1,,"1 = chose cup with treat, 0 = chose up without treat",
,nonostensive_2,Choice in non-ostensive trial 2,,"1 = chose cup with treat, 0 = chose up without treat",
,nonostensive_3,Choice in non-ostensive trial 3,,"1 = chose cup with treat, 0 = chose up without treat",
,nonostensive_4,Choice in non-ostensive trial 4,,"1 = chose cup with treat, 0 = chose up without treat",
,nonostensive_5,Choice in non-ostensive trial 5,,"1 = chose cup with treat, 0 = chose up without treat",
,nonostensive_6,Choice in non-ostensive trial 6,,"1 = chose cup with treat, 0 = chose up without treat",
,nonostensive_7,Choice in non-ostensive trial 7,,"1 = chose cup with treat, 0 = chose up without treat",
,nonostensive_8,Choice in non-ostensive trial 8,,"1 = chose cup with treat, 0 = chose up without treat",
,nonostensive_9,Choice in non-ostensive trial 9,,"1 = chose cup with treat, 0 = chose up without treat",
,nonostensive_10,Choice in non-ostensive trial 10,,"1 = chose cup with treat, 0 = chose up without treat",
,nonostensive_11,Choice in non-ostensive trial 11,,"1 = chose cup with treat, 0 = chose up without treat",
,nonostensive_12,Choice in non-ostensive trial 12,,"1 = chose cup with treat, 0 = chose up without treat",
,nonostensive_13,Choice in non-ostensive trial 13,,"1 = chose cup with treat, 0 = chose up without treat",
,nonostensive_14,Choice in non-ostensive trial 14,,"1 = chose cup with treat, 0 = chose up without treat",
,ostensive_1,Choice in ostensive trial 1,,"1 = chose cup with treat, 0 = chose up without treat",
,ostensive_2,Choice in ostensive trial 2,,"1 = chose cup with treat, 0 = chose up without treat",
,ostensive_3,Choice in ostensive trial 3,,"1 = chose cup with treat, 0 = chose up without treat",
,ostensive_4,Choice in ostensive trial 4,,"1 = chose cup with treat, 0 = chose up without treat",
,ostensive_5,Choice in ostensive trial 5,,"1 = chose cup with treat, 0 = chose up without treat",
,ostensive_6,Choice in ostensive trial 6,,"1 = chose cup with treat, 0 = chose up without treat",
,ostensive_7,Choice in ostensive trial 7,,"1 = chose cup with treat, 0 = chose up without treat",
,ostensive_8,Choice in ostensive trial 8,,"1 = chose cup with treat, 0 = chose up without treat",
,ostensive_9,Choice in ostensive trial 9,,"1 = chose cup with treat, 0 = chose up without treat",
,ostensive_10,Choice in ostensive trial 10,,"1 = chose cup with treat, 0 = chose up without treat",
,ostensive_11,Choice in ostensive trial 11,,"1 = chose cup with treat, 0 = chose up without treat",
,odor_1,Choice in odor trial 1,,"1 = chose cup with treat, 0 = chose up without treat",
,odor_2,Choice in odor trial 2,,"1 = chose cup with treat, 0 = chose up without treat",
,odor_3,Choice in odor trial 3,,"1 = chose cup with treat, 0 = chose up without treat",
,odor_4,Choice in odor trial 4,,"1 = chose cup with treat, 0 = chose up without treat",
,odor_5,Choice in odor trial 5,,"1 = chose cup with treat, 0 = chose up without treat",
,odor_6,Choice in odor trial 6,,"1 = chose cup with treat, 0 = chose up without treat",
